Slug,Country_Code,Property_Type_Categories,Review_score_base,Review_Score,USD_Price,Partner,Published
titanic-city-taksim,tr,Hotel,10,8.5,89,booking.com,True
borei-angkor-resort-spa,kh,Hotel,10,9.0,105,booking.com,True
empress-angkor-resort-spa,kh,Hotel,10,9.0,96,booking.com,True
angkor-holiday-hotel,kh,Hotel,10,7.8,33,booking.com,True
khemara-angkor-hotel-spa,kh,Hotel,10,6.3,60,booking.com,True
turvan-hotel,tr,Hotel,10,5.0,27,booking.com,True
ethnica-hotel-old-city,tr,Hotel,10,8.4,70,booking.com,True
bunwin-siem-reap,kh,Hotel,10,9.1,38,booking.com,True
angkor-village-hotel,kh,Hotel,10,9.3,219,booking.com,True
don-giovanni-hotel-prague-great-hotels-of-the-world,cz,Hotel,10,9.0,58,booking.com,True
pytloun-kampa-garden-hotel-prague,cz,Hotel,10,8.9,70,booking.com,True
hotel-claris,cz,Hotel,10,8.1,44,booking.com,True
hotel-meda-of-museum-kampa,cz,Hotel,10,7.4,62,booking.com,True
numa-l-root-rooms-apartments,cz,Hotel,10,8.8,62,booking.com,True
sheraton-buenos-aires-hotel-convention-center,ar,Hotel,10,8.1,179,booking.com,True
holiday-inn-vancouver-centre-broadway-an-ihg-hotel,ca,Hotel,10,8.0,147,booking.com,True
sonder-chelsea-green,gb,Hotel,10,7.7,213,booking.com,True
belgrave-hotel,gb,Hotel,10,7.7,68,booking.com,True
dream-hotel-bangkok,th,Hotel,10,8.6,112,booking.com,True
crowne-plaza-london-ealing-an-ihg-hotel,gb,Hotel,10,7.8,108,booking.com,True
the-mandeville-hotel,gb,Hotel,10,8.1,186,booking.com,True
hotel-55,gb,Hotel,10,8.0,131,booking.com,True
club-quarters-hotel-embarcadero-san-francisco,us,Hotel,10,8.0,126,booking.com,True
fitzgerald-hotel-union-square,us,Hotel,10,7.2,70,booking.com,True
pestana-rio-atlantica,br,Hotel,10,8.0,154,booking.com,True
royalty-copacabana-hotel,br,Hotel,10,5.5,60,booking.com,True
hotel-ascot-opera,fr,Hotel,10,8.1,123,booking.com,True
hotel-louison,fr,Hotel,10,8.5,188,booking.com,True
hotel-arvor-saint-georges,fr,Hotel,10,8.4,108,booking.com,True
benczur-hotel,hu,Hotel,10,8.1,51,booking.com,True
copthorne-hotel-apartments-queenstown-lakeview,nz,Hotel,10,7.8,281,booking.com,True
ibis-budapest-city,hu,Hotel,10,8.4,52,booking.com,True
waikiki-malia-by-outrigger,us,Hotel,10,8.2,179,booking.com,True
hyatt-regency-waikiki-beach-resort-spa,us,Resort,10,8.2,279,booking.com,True
alohilani-resort-waikiki-beach,us,Hotel,10,8.0,300,booking.com,True
imperial-hawaii-resort,us,Hotel,10,8.3,260,booking.com,True
sarmiento-palace-hotel,ar,Hotel,10,7.9,60,booking.com,True
mercure-queenstown-resort,nz,Hotel,10,7.9,177,booking.com,True
the-ambassador-seoul-a-pullman-hotel,kr,Hotel,10,8.6,160,booking.com,True
grand-walkerhill-seoul,kr,Hotel,10,8.5,150,booking.com,True
hotel-bobbio,hu,Hotel,10,7.7,42,booking.com,True
the-aquincum-hotel-budapest,hu,Hotel,10,7.9,86,booking.com,True
mitsui-garden-hotel-kyoto-shijo,jp,Hotel,10,8.4,76,booking.com,True
ryse-autograph-collection-seoul-by-marriott,kr,Hotel,10,8.9,180,booking.com,True
beatrix-hotel,hu,Hotel,10,8.5,80,booking.com,True
libertador-hotel,ar,Hotel,10,8.1,160,booking.com,True
hotel-sheltown,ar,Hotel,10,7.2,65,booking.com,True
telmho-hotel-boutique,ar,Hotel,10,7.9,60,booking.com,True
inntel-hotels-amsterdam-centre,nl,Hotel,10,8.2,183,booking.com,True
hotel-vondel-garden-city-centre,nl,Hotel,10,7.0,58,booking.com,True
jan-luyken-hotel-amsterdam,nl,Hotel,10,9.0,148,booking.com,True
hotel-estherea,nl,Hotel,10,9.1,215,booking.com,True
hotel-des-arts,nl,Hotel,10,8.4,75,booking.com,True
mercure-hotel-amsterdam-west,nl,Hotel,10,7.5,95,booking.com,True
apollo-hotel-amsterdam-a-tribute-portfolio-hotel,nl,Hotel,10,8.2,118,booking.com,True
hotel-station-kyoto-west,jp,Hotel,10,6.3,34,booking.com,True
hearton-hotel-kyoto,jp,Hotel,10,8.3,56,booking.com,True
danubius-hotel-hungaria-city-center,hu,Hotel,10,7.6,49,booking.com,True
hotel-joe-m,fr,Hotel,10,8.4,134,booking.com,True
hotel-elysees-opera,fr,Hotel,10,8.5,135,booking.com,True
moris-grands-boulevards,fr,Hotel,10,8.6,105,booking.com,True
hotel-des-nations-saint-germain,fr,Hotel,10,8.0,112,booking.com,True
hotel-belloy-saint-germain,fr,Hotel,10,8.0,158,booking.com,True
victoires-opera,fr,Hotel,10,7.6,184,booking.com,True
leonardo-boutique-museumhotel,nl,Hotel,10,7.7,96,booking.com,True
best-western-amsterdam,nl,Hotel,10,7.7,83,booking.com,True
budget-trianon-hotel,nl,Hotel,10,6.7,51,booking.com,True
avantgarde-hotel-taksim,tr,Hotel,10,7.6,76,booking.com,True
elite-world-istanbul-taksim-hotel,tr,Hotel,10,8.0,131,booking.com,True
dragon-royal-angkor-hotel,kh,Hotel,10,6.8,30,booking.com,True
hotel-grand-mark,tr,Hotel,10,7.1,28,booking.com,True
kenzi-menara-palace-resort-all-inclusive,ma,Hotel,10,8.0,117,booking.com,True
hotel-asterisk-a-family-run-hotel,nl,Hotel,10,8.7,101,booking.com,True
hotel-ai-due-principi,it,Hotel,10,7.8,100,booking.com,True
hotel-atlanta,nl,Hotel,10,7.3,71,booking.com,True
cyan-americas-towers-hotel,ar,Hotel,10,8.3,97,booking.com,True
hilton-buenos-aires,ar,Hotel,10,8.8,243,booking.com,True
nh-city-buenos-aires,ar,Hotel,10,8.0,120,booking.com,True
nh-collection-buenos-aires-lancaster,ar,Hotel,10,8.5,110,booking.com,True
nh-collection-buenos-aires-crillon,ar,Hotel,10,8.5,104,booking.com,True
nh-buenos-aires-latino,ar,Hotel,10,8.5,90,booking.com,True
pampa-plaza-hotel,ar,Hotel,10,5.9,130,booking.com,True
new-york-hilton-midtown,us,Hotel,10,7.5,169,booking.com,True
hgu-new-york,us,Hotel,10,7.5,115,booking.com,True
hilton-garden-inn-new-york-manhattan-chelsea,us,['Hotel'],10,7.9,121,booking.com,True
the-juniper-hotel-bistro,ca,Hotel,10,8.1,81,booking.com,True
banff-caribou-lodge-and-spa,ca,Hotel,10,7.8,103,booking.com,True
banff-park-lodge,ca,Hotel,10,8.1,96,booking.com,True
red-carpet-inn,ca,Hotel,10,7.6,85,booking.com,True
best-western-plus-siding-29-lodge,ca,Hotel,10,8.2,73,booking.com,True
the-ritz-carlton-residences-waikiki-beach-hotel,us,Hotel,10,9.1,635,booking.com,True
hilton-grand-vacation-club-the-grand-islander-waikiki-honolulu,us,Resort,10,8.6,370,booking.com,True
halekulani,us,Resort,10,9.3,670,booking.com,True
president-hotel,us,Hotel,10,7.4,95,booking.com,True
penguin-hotel,us,Hotel,10,7.2,105,booking.com,True
sea-view-hotel,us,Hotel,10,8.3,325,booking.com,True
shepley-south-beach-hotel,us,Hotel,10,8.5,229,booking.com,True
kimpton-anglers-hotel-south-beach-an-ihg-hotel,us,Resort,10,8.3,279,booking.com,True
pestana-south-beach-hotel,us,Hotel,10,8.3,181,booking.com,True
hotel-gaythering-gay-hotel-all-adults-welcome,us,Hotel,10,8.9,131,booking.com,True
oceanside-hotel-and-suites,us,Hotel,10,6.3,95,booking.com,True
the-twin-fin-hotel,us,Hotel,10,8.0,179,booking.com,True
aston-at-the-executive-centre-hotel,us,Hotel,10,8.0,224,booking.com,True
aston-waikiki-circle-hotel,us,Hotel,10,8.0,191,booking.com,True
coconut-waikiki-hotel,us,Hotel,10,8.3,159,booking.com,True
park-shore-waikiki,us,Hotel,10,8.1,189,booking.com,True
best-western-the-plaza-hotel-free-breakfast,us,Hotel,10,7.1,219,booking.com,True
pagoda-hotel,us,Hotel,10,7.3,152,booking.com,True
halepuna-waikiki-by-halekulani,us,Hotel,10,9.0,351,booking.com,True
beach-park-hotel,us,Hotel,10,5.4,109,booking.com,True
pelican-hotel,us,Hotel,10,8.8,205,booking.com,True
hotel-de-l-exposition-republique,fr,Hotel,10,6.7,93,booking.com,True
ibis-styles-paris-gare-de-l-est-tgv,fr,Hotel,10,7.7,108,booking.com,True
hotel-de-la-bretonnerie,fr,Hotel,10,8.1,169,booking.com,True
hotel-pont-royal,fr,Hotel,10,8.3,345,booking.com,True
voco-paris-montparnasse-an-ihg-hotel,fr,Hotel,10,8.3,114,booking.com,True
le-vert-galant-auberge-etchegorry,fr,Hotel,10,8.5,102,booking.com,True
hotel-saint-louis-marais,fr,Hotel,10,8.8,208,booking.com,True
hotel-opera-marigny,fr,Hotel,10,8.1,193,booking.com,True
best-western-aramis-saint-germain,fr,Hotel,10,8.1,121,booking.com,True
hotel-yllen-eiffel,fr,Hotel,10,8.9,148,booking.com,True
beach-haus-bal-harbour,us,Hotel,10,8.6,229,booking.com,True
aqua-hotel-suites,us,Hotel,10,5.6,101,booking.com,True
beacon-south-beach-hotel,us,Hotel,10,7.4,171,booking.com,True
shelley-hotel,us,Hotel,10,5.8,78,booking.com,True
marseilles-beachfront-hotel,us,Hotel,10,7.8,209,booking.com,True
stardust-hotel,us,Hotel,10,7.8,114,booking.com,True
notebook-miami-beach,us,Hotel,10,5.3,73,booking.com,True
ohia-waikiki-studio-suites,us,Hotel,10,6.5,104,booking.com,True
espacio-the-jewel-of-waikiki,us,Hotel,10,9.5,2,booking.com,True
eden-roc-miami-beach,us,Resort,10,7.1,359,booking.com,True
hotel-croydon,us,Hotel,10,8.0,148,booking.com,True
the-miami-beach-edition,us,Hotel,10,8.6,759,booking.com,True
abae-hotel-by-eskape-collection,us,Hotel,10,8.4,143,booking.com,True
four-seasons-hotel-at-the-surf-club,us,Hotel,10,9.3,1,booking.com,True
hilton-garden-inn-miami-south-beach,us,Hotel,10,7.6,172,booking.com,True
residence-inn-by-marriott-miami-beach-south-beach,us,Hotel,10,8.0,287,booking.com,True
boardwalk-beach-hotel,us,Hotel,10,5.4,59,booking.com,True
sugar-sands-inn-suites-panama-city-beach,us,Hotel,10,7.6,69,booking.com,True
seahaven-beach-hotel-panama-city-beach,us,Hotel,10,4.6,62,booking.com,True
club-wyndham-panama-city-beach,us,Hotel,10,8.5,83,booking.com,True
hampton-inn-suites-panama-city-beach-pier-park-area,us,Hotel,10,8.4,90,booking.com,True
marriott-s-legends-edge-at-bay-point,us,Hotel,10,9.4,189,booking.com,True
holiday-terrace,us,Hotel,10,6.6,59,booking.com,True
comfort-suites,us,Hotel,10,8.2,59,booking.com,True
majestic-beach-resort-panama-city-beach-fl,us,Resort,10,8.7,97,booking.com,True
gulf-gate-208,us,Hotel,10,8.5,58,booking.com,True
the-dorothy-motel,ca,['Hotel'],10,8.6,88,booking.com,True
guesthouse-pavi,is,['House'],10,7.3,101,booking.com,True
four-seasons-motor-inn,us,['Hotel'],10,7.8,99,booking.com,True
carrollmotel-and-cottages,us,['Hotel'],10,7.8,100,booking.com,True
antica-torre-di-via-tornabuoni-1,it,['Bed & Breakfast'],10,9.1,281,booking.com,True
alberghino-b-b,it,['Bed & Breakfast'],10,8.2,102,booking.com,True
soggiorno-michelangelo,it,['Bed & Breakfast'],10,7.9,72,booking.com,True
thai-cozy-house-sha-certified,th,['Hotel'],10,7.3,26,booking.com,True
jackson-court,us,['Bed & Breakfast'],10,8.1,295,booking.com,True
timhotel-nation,fr,Hotel,10,6.9,82,booking.com,True
hotel-a-la-villa-des-artistes,fr,Hotel,10,8.6,137,booking.com,True
hotel-deka,ge,Hotel,10,9.1,39,booking.com,True
tabist-sparkling-dolphins-inn-kyoto,jp,['Hotel'],10,8.4,54,booking.com,True
earnslaw-lodge,nz,['Hotel'],10,8.0,146,booking.com,True
chalet-queenstown,nz,['Bed & Breakfast'],10,8.7,236,booking.com,True
hostelling-international-honolulu,us,['Hotel'],10,8.8,50,booking.com,True
